Category,Organization Name,Address,Distance from Princeton U (mi),Space Type,Published Price,Princeton Affiliation Discount?,More Info / Website,CSIT Vouchers Accepted?,Accelerator / Incubator Program & NJEDA Recognition,Latitude,Longitude
Innovation Center,NJ AI Hub,"619 Alexander Road, Suite 302, Princeton, NJ 08540",2.6,"Offers participating companies tailored programming, mentorship, investor access, and connections to corporate and university partners that can support pilots and commercialization. The hub also provides access to its Princeton-area AI-focused co-working facility, including dedicated desks, reservable offices and meeting rooms, phone rooms, storage, high-speed internet, printing, and selected community events.","N/A - application/cohort model, not open-market rental (see application form via NJ AI Hub)","Princeton University is a founding partner of the NJ AI Hub, alongside Microsoft and CoreWeave.",https://njaihub.org,,The NJ AI Hub hosts the Plug and Play NJ AI Hub Accelerator and is NJEDA-recognized as one of 12 Strategic Innovation Centers.,40.33239,-74.67105
Wet/Dry Lab,Princeton Research Labs,"7 Deerpark Drive, Monmouth Junction, NJ 08852",6,"A 250,000 sq ft life-sciences/tech campus offering move-in-ready spec labs spanning 200-20,000 sq-ft of specialized GMP (Good Manufacturing Practice) space, clean rooms, and conference rooms. Princeton Research Labs is home to 55+ companies and strategically placed along New Jersy's Route 1 corridor. ",Contact for pricing,"Part of the Einstein's Alley network, which lists Princeton Keller Center as a member/supporter.",https://princetonresearchlabs.com,,None found,40.38098,-74.53499
Prototyping,Rutgers EcoComplex - Clean Energy Innovation Center & Business Incubator,"1200 Florence Columbus Road, Bordentown, NJ 08505",15,"Offers research facilities to rent as part of its Business Incubator Program. These spaces are designed to facilitate the development of new technologies from benchtop-to-pilot scale demonstrations. Six labs totaling 3,400 square feet: Designed as flexible lab space, these areas provide; benchspace for analytical equipment with computers, wet lab bench space for biological experiments, chemical hoods, vented hood space, a clean room, separate lab gas storage, and laboratory refrigeration/ growth chamber space. A 1,200 square foot, well lit, two-story scale-up lab is designed to allow adequate space for pilot scale demonstration units of new clean technologies. The space is equipped with a heated floor, 480 volt - three phase electric panel, central hoist lift, 14' high roll-up door to the exterior, separate ventilation system, natural gas supply as well as water, and pressurized air lines. Along with laboratories and demonstration space, there is also office space available for rent varying in size from 120 sq. ft. to 346 sq. ft. All rental spaces include internet access, mail and fax services and priority access, at no charge, to meeting rooms in our state-of-the-art conference center.",Contact for pricing,N/A,https://ecocomplex.rutgers.edu,,"Approved NJEDA NJ Ignite collaborative workspace; qualifying tech/life-sciences startups get up to 6 months' rent from NJEDA plus an extra month from Rutgers, totaling 10 months of subsidized rent. ",40.14194,-74.68933
Research Core Facility,Princeton University Chemistry NMR,"Frick Chemistry Laboratory, Washington Road &  Scholar Way, Princeton, NJ 08544",0.1,"Features seven advanced NMR spectrometers ranging from 300 to 800 MHz for diverse applications, including multi-nuclei and double-resonance experiments.",Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: István Pelczer Director ipelczer@princeton.edu 609-258-2342 Building Location: Frick Chemistry Laboratory, B06 NMR Facility Site",https://chemistry.princeton.edu/research-facilites/nmr-facility/,Unknown; confirm directly,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.3455,-74.6519
Research Core Facility,Princeton University Animal Lab,,0.1,,,,,,,,
Research Core Facility,Princeton University Advanced Micro Assembly & Packaging (AMAP) Center,"Princeton Materials Institute, 86 Olden Street, Princeton, NJ 08540",0.1,"The AMAP Center specializes in the precise assembly, bonding, and alignment of micro-miniature components with the capability of placing parts within single-digit micron accuracy. The Center supports high-precision manufacturing and research in a variety of cutting-edge fields.",,"Princeton University facility available to external academic researchers and industrial researchers, including companies seeking microelectronics assembly, packaging, bonding, alignment, and related prototyping support.",https://materials.princeton.edu/core-facilities/advanced-micro-assembly-packaging,,Shared research facility supporting high-precision manufacturing research.,40.34648,-74.65252
Research Core Facility,Princeton University Micro/Nano Fabrication Center (MNFC),"Princeton Materials Institute, 86 Olden Street, Princeton, NJ 08540",0.1,"Provides a cleanroom facility for patterning materials at meso, micro, and nano scales to create devices in electronics, optics, MEMS, and microfluidics. It offers over 70 tools for deposition, patterning, etching, and packaging.",Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: Dan Woodie Director, MNFC daniel.woodie@princeton.edu (609)258-5922 Alex Norman Executive Director, PMI (Norman) alex.norman@princeton.edu Building Location: Andlinger Center for Energy & Environment Micro/Nanofabrication Center Site",https://mnfc.princeton.edu/,Yes,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.34648,-74.65253
Research Core Facility,Princeton University Imaging and Analysis Center (IAC),"Princeton Materials Institute, 86 Olden Street, Princeton, NJ 08540",0.1,"Offers advanced instrumentation for characterizing all materials, including biological specimens. Its equipment includes optical microscopy, SEM, FIB, TEM, XRD, SAXS, 3D X-ray microscopy, scanning probe microscopy, and more.",Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: Nan Yao Director, IAC nyao@princeton.edu Alex Norman Executive Director, PMI alex.norman@princeton.edu Building Location: Andlinger Center for Energy & Environment Imaging and Analysis Center Site",https://iac.princeton.edu/,Yes,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.34648,-74.65254
Research Core Facility,Princeton University Genomics Core Facility,"Carl Icahn Laboratory, Princeton University, Princeton, NJ 08544",0.1,"Offers high-throughput Next-Generation DNA sequencing (NGS) technologies, including NovaSeq 6000, MiSeq, PacBio Revio, Xenium, and 10x Genomics systems.",Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: Wei Wang Director of the High Throughput Sequencing and Genomics Core Facility ww3@princeton.edu 609-258-6998 Building Location:132A & 010 Carl Icahn Laboratory Genomics Core Facility Site",https://lsi.princeton.edu/facilities/sequencing-facility,Unknown; confirm directly,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.34575,-74.6517
Research Core Facility,Princeton University Proteomics and Mass Spectrometry Center,"Carl Icahn Laboratory, Princeton University, Princeton, NJ 08544",0.1,"Proteomics and mass spectrometry: experimental design, sample preparation, data acquisition, analysis and collaboration",Facility-specific external-user fees; contact facility,"Princeton University facility. Startups should contact the center directly to ask about acceptable commercial use cases, sample acceptance, staff-performed service availability, fees, turnaround, confidentiality/IP terms, and other requirements or limitations.",https://proteomics.princeton.edu,,Shared research service facility; access is not a substitute for a contract research organization.,40.34575,-74.6517
Research Core Facility,Princeton University Flow Cytometry Resource Facility,"Carl Icahn Laboratory, Princeton University, Princeton, NJ 08544",0.1,"Provides flow cytometry and fluorescence activated cell sorting services, training for independent use of certain instrumentation, and expert consultation to assist with experimental design and troubleshooting, as well as data analysis/interpretation and presentation.",Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: Christina J. DeCoste Director cdecoste@princeton.edu 609-258-1695 Building Location: Moffett 122 Flow Cytometry Resource Facility Site",https://molbio.princeton.edu/core-facilities/flow-cytometry,Unknown; confirm directly,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.34575,-74.6517
Research Core Facility,Princeton University Molecular Biology Shared Research Facilities,"Carl Icahn Laboratory, Princeton University, Princeton, NJ 08544",0.1,Shared molecular-biology and genomics research facilities; service and instrument access vary by core,Facility-specific external-user fees; contact facility,"Princeton University facility. The department states that most, not necessarily all, shared facilities are available to outside researchers. Startups should contact the relevant core directly to confirm acceptable use cases, external-user access, iLab onboarding, pricing, training, confidentiality/IP terms, and requirements or limitations.",https://molbio.princeton.edu/core-facilities,,Umbrella entry for multiple shared research facilities; do not treat as a single access program.,40.34575,-74.6517
Accelerator,New Jersey Innovation Institute at NJIT,"211 Warren Street Profeta Center for Innovation and Entrepreneurship, Newark, NJ 07103",37,"New Jersey Innovation Institute (NJII), an NJIT corporation, was founded in 2014 as a 501c3. As an independent, non-profit corporation, NJII is uniquely positioned to be agile, entrepreneurial and opportunistic. NJII is focused on accelerating technology, fostering innovation, and workforce development in order to have a positive economic impact in New Jersey.  Focused on results, NJII has generated over $330M in revenue during its ten years of operation

NJII combines the vast resources of an R-1 university, strong and far-reaching industry and government relationships, and proven methods for building industry centric ecosystems.  The NJII team of 100+ staff are currently organized into four cutting edge divisions that guide our initiatives: AI/ML, Defense, Entrepreneurship and Healthcare.",,,https://www.njii.com,,The NJII includes a Venture Studio and is the NJEDA-recognized Strategic Innovation Center based within its Newark incubator; NJEDA’s August 2025 overview lists a $5.8 million investment plus a $4.6 million fund.,40.7416,-74.1793
Accelerator,New Jersey Fintech Accelerator at Stevens Institute of Technology (NJFAST),"1 Castle Point Terrace, Hoboken, NJ 07030",42.5,"NJ FAST is the New Jersey Fintech Accelerator at Stevens Institute of Technology and one of New Jersey's Strategic Innovation Centers opened as Plug and Play's first East Coast Location. As a state-backed accelerator program, it is designed to help financial-technology and insurance-technology startups develop, pilot, and scale their products in New Jersey. NJ FAST works with selected startup cohorts, generally two per year, providing:
+Mentorship from industry and startup experts.
+Connections to potential corporate partners, investors, and customers.
+Programming around product development, fundraising, market access, and commercialization.
+Opportunities for Stevens faculty and students to engage with participating companies.
Potential pathways to equity investment and pilot projects.",,,https://www.stevens.edu/nj-fast,,"Official NJEDA Strategic Innovation Center. NJEDA lists it as a fintech/insurtech accelerator, supported by a $17.25 million investment and a $12.5 million fund.",40.745586,-74.026163
Multi-tenant translational park,Edge Works at SciTech Scity,"SciTech Scity, 222 Jersey City Blvd., Jersey City, NJ 07305",40.7,"Edge Works is planned as the business-creation center within Liberty Science Center’s SciTech Scity campus. Its proposed services include digital-health proof-of-concept activity, R&D laboratories, shared workspaces, private offices, consumer-testing resources, conference and exhibition space, and programming that links entrepreneurs with academic and clinical partners. The project is substantially future-facing, with an NJEDA overview projecting a 2029 opening.",,,https://www.scitechscity.com,,Official NJEDA Strategic Innovation Center with a $20 million NJEDA investment.,40.709,-74.043
Multi-tenant translational park,HELIX Health + Life Science Exchange,"Tower 1, 120 Albany St., 7th Floor, New Brunswick, NJ 08901",15.2,"HELIX is a physical innovation district rather than a conventional cohort accelerator. It is meant to co-locate university research, medical education, hospitals, industry, and startup-support partners, including Portal Innovations. For founders, the value proposition is access to translational-research networks, life-science space, proximity to clinical and academic collaborators, programming, and the New Jersey Innovation Hub. HELIX Tower 1 opened in 2026 as the home of Rutgers Robert Wood Johnson Medical School.",,,https://www.helixnj.com,,Official NJEDA Strategic Innovation Center. HELIX is NJEDA-recognized as a health and life-sciences multi-tenant innovation cluster.,40.4977,-74.4453
Venture Studio,Nokia Bell Labs Innovation Center,"Nokia Bell Labs, 600 Mountain Ave., Murray Hill/New Providence, NJ 07974",26.7,"This initiative combines future lab and office space in New Brunswick with the Bell Labs Venture Studio. Its purpose is to create and support companies based on intellectual property from Nokia, universities, and industry in areas including microelectronics, AI, advanced manufacturing, computing, information technology, and next-generation communications. Offered support is expected to include business training, operating support, management guidance, physical space, and access to Bell Labs scientific expertise.",,,https://www.nokia.com/bell-labs,,Official NJEDA Strategic Innovation Center. NJEDA announced the Bell Labs partnership in February 2025 with a $25m investment and $10m fund.,40.6834,-74.4082
National Lab,Princeton Plasma Physics Laboratory (PPPL),"100 Stellarator Rd., Princeton, NJ 08540",2.6,"PPPL is a federal plasma-physics laboratory whose relevance to founders comes through specialized expertise, experimental facilities, technical services, research collaborations, and technology-transfer pathways. Its formal SIC role is as a partner to HAX Plasma Forge, where PPPL is expected to provide equipment, lab access, and technical support to plasma-tech ventures. ",,,https://www.pppl.gov,,"PPPL is a core partner in the official NJ HAX Plasma Forge SIC, alongside SOSV, Princeton University, and NJEDA.",40.348825,-74.602183
Innovation Center,New Jersey Maternal & Infant Health Innovation Authority (NJMIHIA) / MIHIC,"1 Pennington Ave., Trenton, NJ 08618",10.1,"NJMIHIA coordinates healthcare, community, policy, workforce, and innovation systems to improve outcomes for mothers and babies. Its Trenton MIHIC will combine clinical care, workforce development, social services, research, innovation, and community support. The associated Nurture NJ Innovation Center is planned as a focused accelerator for maternal-care equity, digital health, doula support, perinatal mental health, and public-benefits access.",,,https://www.nj.gov/njmihia,,Official NJEDA Strategic Innovation Center. The maternal-and-infant-health accelerator is the NeoVation Collaborative or Nurture NJ Innovation Center. ,40.227,-74.765
Accelerator,Coriell Institute for Medical Research / NJ Coriell Labs Innovation Center,"403 Haddon Ave., Camden, NJ 08103",37.1,"Coriell’s planned 45,000-square-foot biotech innovation center is intended for genomics and advanced-biotechnology startups. It will provide premium incubator and “step-out” lab space, wet labs, a vivarium, corporate suites, convening space, and access to Coriell’s biobanking and laboratory services. Founders are also expected to be able to collaborate with Coriell scientists, the Camden Cancer Research Center, and regional medical and academic partners. ",,,https://www.coriell.org,,Official NJEDA Strategic Innovation Center. The SIC is a joint Coriell-NJEDA project with a $20 million NJEDA investment.,39.944,-75.121
Innovation Center,National Aerospace Research & Technology Park (NARTP),"600 Aviation Research Blvd., Suite 120, Egg Harbor Township, NJ 08234",61.7,"NARTP is the home of the Atlantic County NJ Aerospace SIC. It is designed to provide aerospace and aviation ventures with R&D space, high-speed connectivity and data systems, laboratories, co-working space, and studio space. The wider partnership includes universities and aerospace-oriented institutions, creating a platform for technical collaboration and commercialization.",,,https://nartp.com,,"Host site for an official NJEDA Strategic Innovation Center. The formal designation is the Atlantic County NJ Aerospace SIC, located at NARTP. It boasts an $8.6 million NJEDA investment. ",39.454,-74.566
Accelerator,Rowan University / NJ AIM,"201 Broadway, Camden, NJ 08103",37,"Rowan is the academic and operating partner for the New Jersey Accelerator for Innovation in Medtech, or NJ AIM. This multi-location accelerator is planned to support early-stage medical-device and medtech companies through cohort programming, commercialization support, investment funding, co-working and lab space, and access to Rowan, Cooper University Health Care, Plug and Play, and Garden State Ventures. Its sites include Camden and Rowan’s West Campus in the Glassboro/Mullica Hill area. ",,,https://www.rowan.edu,,"Operating/academic partner for an official NJEDA SIC. The formal SIC is NJ AIM, the New Jersey Accelerator for Innovation in Medtech, with a listed $9.55 million NJEDA investment and a $5.55 million fund.",39.9465,-75.1212
Research Core Facility,Princeton University Bezos Center for Neural Circuit Dynamics,"Princeton Neuroscience Institute, Princeton University, Princeton, NJ 08544",0.1,Dedicated to advanced microscopy and imaging studies of neural circuit function in the brain to support research affiliated with the Princeton Neurosciences Institute.,Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: Stephan Thiberge Director of Microscopy Facilities, Bezos Center for Neural Dynamics thiberge@princeton.edu 609-258-9506 Building Location: C28 Princeton Neuroscience Institute Bezos Center for Neural Circuit Dynamics Site",https://pni.princeton.edu/centers/bezos,Unknown; confirm directly,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.3448,-74.64945
Research Core Facility,Princeton University Biophysics Core Facility,"Frick Chemistry Laboratory, Princeton University, Princeton, NJ 08544",0.1,"Provides advanced instrumentation for the biophysical characterization of proteins, DNA, and other macromolecules, including their interactions. Key tools include ultracentrifuges, calorimeters, spectrometers, and light scattering devices.",Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: Venu Vandavasi Director vgv@princeton.edu (609) 258-0236 Building Location: Frick Chemistry Laboratory, B25 and B06 Biophysics Core Facility Site",https://chemistry.princeton.edu/research-facilites/biophysics-core-facility/,Unknown; confirm directly,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.3455,-74.6519
Research Core Facility,Princeton University Confocal Imaging Facility,"Moffett Laboratory, Princeton University, Princeton, NJ 08544",0.1,"Provides a range of advanced confocal microscopy imaging techniques for high-resolution, in-depth cell and tissue visualization.",Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: Point of Contact: Gary Laevsky Director of Confocal Microscopy glaevsky@princeton.edu 609-258-5432 Building Location: Moffett Laboratory, 116 Confocal Imaging Facility Site (CIF)",https://molbio.princeton.edu/core-facilities/confocal-microscopy,Unknown; confirm directly,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.34575,-74.6517
Research Core Facility,Princeton University Electron Microscopy Core Facility,"Guyot Hall, Princeton University, Princeton, NJ 08544",0.1,"Provides structure determination and analysis, including crystallization trials, X-ray data collection (synchrotron and in-house), and structure analysis.",Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: Jonathan Bouvette bouvette@princeton.edu 609-258-9426 Building Location: Guyot B3 Electron Microscopy Core Facility Site",https://molbio.princeton.edu/core-facilities/electron-microscopy,Unknown; confirm directly,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.34515,-74.65095
Research Core Facility,Princeton University Macromolecular Crystallography,"Frick Chemistry Laboratory, Princeton University, Princeton, NJ 08544",0.1,"Provides structure determination and analysis, including crystallization trials, X-ray data collection (synchrotron and in-house), and structure analysis. Staff assist with Protein Data Bank structure interpretation, homology modeling, and cryoEM model building.",Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: Phil Jeffrey Facility Manager pjeffrey@princeton.edu 609 258-3978 Building Location: Frick Chemistry Laboratory Macromolecular Crystallography Site",https://mol-xray.princeton.edu/,Unknown; confirm directly,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.3455,-74.6519
Research Core Facility,Princeton University Mass Spectrometry Facility,"Frick Chemistry Laboratory, Princeton University, Princeton, NJ 08544",0.1,"Provides high-quality chemical analysis using advanced instruments such as LC/MS, Triple Quad, QTOF, and GC/MS systems.",Facility-specific fees; contact facility,"Princeton directory lists this facility as open to external users. Contact the facility directly to confirm commercial/startup eligibility, training, scheduling, rates, confidentiality/IP terms, and any project-specific requirements. Contact: John Eng Director, Mass Spectroscopy and Small Instrument Core Facilities eng@princeton.edu 609-258-3928 Building Location: Frick Chemistry Laboratory, B11 Mass Spectrometry Facility Site",https://chemistry.princeton.edu/research-facilites/mass-spectrometry/,Unknown; confirm directly,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.3455,-74.6519
Research Core Facility,Princeton University Princeton Research Data Service,"Firestone Library, Princeton University, Princeton, NJ 08544",0.1,"Offers expert support for storing, managing, and curating digital research data. The services include consultations, training, and data curation throughout the research lifecycle.",Facility-specific fees; contact facility,"Included at the user’s request. The directory lists this service as Princeton-only and notes that walk-ins are not available; contact the service directly to discuss whether any collaboration or external engagement is possible. Contact: Meghan Testerman Head, Princeton Research Data Service prds@princeton.edu mtesterman@princeton.edu Building Location: Firestone Library (walk-ins not available) Princeton Research Data Service Site",https://researchdata.princeton.edu/,Unknown; confirm directly,Princeton University core facility/service; no NJEDA accelerator or incubator designation indicated in the supplied directory.,40.34385,-74.65155
